"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"NGA",1,2015,678.90149861518211729,698577.430490530436434
"NGA",2,2015,2.74309301382486993,1081.799284112812838
"NGA",3,2015,346.66524962734191734,373485.757380916030718
"NGA",4,2015,40.31788330485786111,28030.873250722090509
"NGA",5,2015,0.0,35.770256124647524
"NGA",6,2015,606.91647946194336756,345554.613666725861765
"NGA",7,2015,171.92164949338896622,50968.369880230911975
"NGA",8,2015,0.0,42.779264028313246
"NGA",9,2015,4800.83257249770702337,2758298.071714575699389
"NGA",10,2015,1976.64076423693221233,1214343.901095137029215
"NGA",11,2015,155.40739130730573263,104073.28519914985656
"NGA",12,2015,12228.42941068004159145,7187602.533183067320525
"NGA",13,2015,1945.31907835718411025,1096282.447109041500549
"NGA",14,2015,58.03267230713596978,33060.08501456174918
"NGA",15,2015,94.37332948866373165,30894.848123728898011
"NGA",17,2015,359.87581852216323362,563319.541930286762917
"NGA",19,2015,2.35446253445800773,7227.13759902561261
"NGA",22,2015,0.0,94.46106216775196
"NGA",23,2015,1229.67279448420848385,469972.955917710813017
"NGA",24,2015,524.08329667016204639,228643.983933920686420
"NGA",25,2015,528.29062271975870250,430567.659422856705381
"NGA",26,2015,74.0293794644210884,23194.58996808240765
"NGA",27,2015,63.1425379717529227,23226.346914293089107
"NGA",28,2015,1556.93404940745814139,923273.423397636741868
"NGA",29,2015,5644.34748351869490340,2955410.068326566061582
"NGA",30,2015,1714.80988929225795776,961290.543215411504662
"NGA",31,2015,1331.18711725143233699,565572.36150524311157
"NGA",32,2015,4.40561225409450974,1590.848393100678812
"NGA",33,2015,2104.29380188938887944,1326621.905201998919855
"NGA",34,2015,0.0,23.720084647103555
"NGA",35,2015,2683.77108084502505534,844487.547107045244466
"NGA",37,2015,0.0,45.599700937403997
"NGA",1,2016,555.17238364788200710,520233.724808259689252
"NGA",2,2016,12.11428403759874326,3265.141925069427139
"NGA",3,2016,151.46099633749298146,172843.850361077681598
"NGA",4,2016,30.53296642976562784,21638.970056200522770
"NGA",5,2016,0.07562520641493056,251.849275414741072
"NGA",6,2016,1265.19770945602829207,698984.914899716340330
"NGA",7,2016,129.80032923969213401,39921.16071935692295
"NGA",8,2016,0.0,14.29239077346227
"NGA",9,2016,4036.93350666621281749,2256858.554165346040784
"NGA",10,2016,4228.51394111931947831,2638851.713716914594934
"NGA",11,2016,54.88999714796684297,48522.87468148560924
"NGA",12,2016,24158.78099500353624508,14550581.454230746208195
"NGA",13,2016,4306.93884336699621026,2498561.19171486540319
"NGA",14,2016,38.83306620622315292,22971.082256442260287
"NGA",15,2016,87.46552119690761897,28967.98461402975742
"NGA",17,2016,426.63060312624874638,747824.028232285742490
"NGA",19,2016,4.17679944638617654,8691.840363955016014
"NGA",20,2016,0.0,8.791236132449047
"NGA",23,2016,3268.80012595083624039,1282592.906068357082568
"NGA",24,2016,2267.01859021043881324,1086470.03066313830605
"NGA",25,2016,1100.74745995818415440,1031756.676660440677585
"NGA",26,2016,76.5787171689796387,22402.913684166393245
"NGA",27,2016,64.90407740431479451,21993.00036729715536
